Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;107750;Educação a Distância;1100205;Porto Velho;RO;18;8;;;;;SC;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);702;FACULDADE  DE CIÊNCIAS E TECNOLOGIA PROFESSOR DIRSON MACIEL DE BARROS;FADIMAB;Faculdade;Especial;104398;Educação Presencial;2606200;Goiana;PE;14;14;11;0,7857;-2,9141;1,5795;2;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);703;FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA;FAFOPA;Faculdade;Especial;16101;Educação Presencial;2601102;Araripina;PE;33;30;20;0,6667;-3,4314;1,4166;2;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);705;FACULDADE SÃO JOSÉ;FSJ;Faculdade;Privada sem fins lucrativos;47558;Educação Presencial;3304557;Rio de Janeiro;RJ;11;9;5;0,5556;-0,7517;2,2605;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);718;UNIVERSIDADE POTIGUAR;UNP;Universidade;Privada com fins lucrativos;16248;Educação Presencial;2408102;Natal;RN;31;29;23;0,7931;-0,8020;2,2446;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);719;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;Universidade;Pública Estadual;16269;Educação Presencial;5102504;Cáceres;MT;29;23;7;0,3043;3,0083;3,4446;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);719;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;Universidade;Pública Estadual;16275;Educação Presencial;5106257;Nova Xavantina;MT;13;12;7;0,5833;4,1681;3,8098;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);719;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;Universidade;Pública Estadual;16276;Educação Presencial;5100250;Alta Floresta;MT;17;17;16;0,9412;2,5545;3,3016;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);719;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;Universidade;Pública Estadual;58506;Educação Presencial;5107958;Tangará da Serra;MT;23;17;15;0,8824;-5,0820;0,8968;1;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);724;Centro Universitário FACEX;UNIFACEX;Centro Universitário;Privada sem fins lucrativos;21279;Educação Presencial;2408102;Natal;RN;12;12;11;0,9167;3,2111;3,5084;4;
